algorithm,k,negative_strategy,negatives_per_source,test_ratio,runs,mean_precision_at_k,std_precision_at_k,mean_hit_rate_at_k,std_hit_rate_at_k,mean_mrr,std_mrr,mean_runtime_seconds,std_runtime_seconds
resource_allocation,1,degree_matched,20,0.2,1,0.76,0.0,0.76,0.0,0.843837,0.0,0.007916,0.0
resource_allocation,1,hard_2hop,20,0.2,1,0.74,0.0,0.74,0.0,0.829333,0.0,0.007349,0.0
resource_allocation,1,random,20,0.2,1,0.84,0.0,0.84,0.0,0.894143,0.0,0.006624,0.0
resource_allocation,10,degree_matched,20,0.2,1,0.48,0.0,0.99,0.0,0.843837,0.0,0.007916,0.0
resource_allocation,10,hard_2hop,20,0.2,1,0.551,0.0,0.99,0.0,0.829333,0.0,0.007349,0.0
resource_allocation,10,random,20,0.2,1,0.555,0.0,0.99,0.0,0.894143,0.0,0.006624,0.0
resource_allocation,3,degree_matched,20,0.2,1,0.616667,0.0,0.91,0.0,0.843837,0.0,0.007916,0.0
resource_allocation,3,hard_2hop,20,0.2,1,0.686667,0.0,0.9,0.0,0.829333,0.0,0.007349,0.0
resource_allocation,3,random,20,0.2,1,0.72,0.0,0.93,0.0,0.894143,0.0,0.006624,0.0
sorensen,1,degree_matched,20,0.2,1,0.72,0.0,0.72,0.0,0.816444,0.0,0.00525,0.0
sorensen,1,hard_2hop,20,0.2,1,0.69,0.0,0.69,0.0,0.7985,0.0,0.004605,0.0
sorensen,1,random,20,0.2,1,0.8,0.0,0.8,0.0,0.874976,0.0,0.004111,0.0
sorensen,10,degree_matched,20,0.2,1,0.499,0.0,0.99,0.0,0.816444,0.0,0.00525,0.0
sorensen,10,hard_2hop,20,0.2,1,0.544,0.0,0.99,0.0,0.7985,0.0,0.004605,0.0
sorensen,10,random,20,0.2,1,0.554,0.0,0.99,0.0,0.874976,0.0,0.004111,0.0
sorensen,3,degree_matched,20,0.2,1,0.623333,0.0,0.89,0.0,0.816444,0.0,0.00525,0.0
sorensen,3,hard_2hop,20,0.2,1,0.66,0.0,0.87,0.0,0.7985,0.0,0.004605,0.0
sorensen,3,random,20,0.2,1,0.703333,0.0,0.94,0.0,0.874976,0.0,0.004111,0.0
target_indegree,1,degree_matched,20,0.2,1,0.64,0.0,0.64,0.0,0.755207,0.0,0.001046,0.0
target_indegree,1,hard_2hop,20,0.2,1,0.64,0.0,0.64,0.0,0.734634,0.0,0.001105,0.0
target_indegree,1,random,20,0.2,1,0.74,0.0,0.74,0.0,0.820167,0.0,0.001046,0.0
target_indegree,10,degree_matched,20,0.2,1,0.317,0.0,0.97,0.0,0.755207,0.0,0.001046,0.0
target_indegree,10,hard_2hop,20,0.2,1,0.45,0.0,0.93,0.0,0.734634,0.0,0.001105,0.0
target_indegree,10,random,20,0.2,1,0.499,0.0,1.0,0.0,0.820167,0.0,0.001046,0.0
target_indegree,3,degree_matched,20,0.2,1,0.376667,0.0,0.83,0.0,0.755207,0.0,0.001046,0.0
target_indegree,3,hard_2hop,20,0.2,1,0.536667,0.0,0.78,0.0,0.734634,0.0,0.001105,0.0
target_indegree,3,random,20,0.2,1,0.593333,0.0,0.85,0.0,0.820167,0.0,0.001046,0.0
