run_id,seed,test_ratio,negative_strategy,negatives_per_source,k,algorithm,sources_evaluated,precision_at_k,hit_rate_at_k,mrr,positive_candidates,negative_candidates,runtime_seconds
seed42_hard_2hop,42,0.2,hard_2hop,20,10,common_neighbors,100,0.556,0.99,0.838167,1294,2000,0.004582
seed42_hard_2hop,42,0.2,hard_2hop,20,1,jaccard,100,0.69,0.69,0.7985,1294,2000,0.012215
seed42_hard_2hop,42,0.2,hard_2hop,20,3,jaccard,100,0.66,0.87,0.7985,1294,2000,0.012215
seed42_hard_2hop,42,0.2,hard_2hop,20,10,jaccard,100,0.544,0.99,0.7985,1294,2000,0.012215
seed42_hard_2hop,42,0.2,hard_2hop,20,1,adamic_adar,100,0.75,0.75,0.835667,1294,2000,0.007156
seed42_hard_2hop,42,0.2,hard_2hop,20,3,adamic_adar,100,0.686667,0.91,0.835667,1294,2000,0.007156
seed42_hard_2hop,42,0.2,hard_2hop,20,10,adamic_adar,100,0.552,0.99,0.835667,1294,2000,0.007156
seed42_hard_2hop,42,0.2,hard_2hop,20,1,personalized_pagerank,100,0.8,0.8,0.875195,1294,2000,0.347784
seed42_hard_2hop,42,0.2,hard_2hop,20,3,personalized_pagerank,100,0.726667,0.95,0.875195,1294,2000,0.347784
seed42_hard_2hop,42,0.2,hard_2hop,20,10,personalized_pagerank,100,0.548,0.97,0.875195,1294,2000,0.347784
seed42_hard_2hop,42,0.2,hard_2hop,20,1,resource_allocation,100,0.74,0.74,0.829333,1294,2000,0.007349
seed42_hard_2hop,42,0.2,hard_2hop,20,3,resource_allocation,100,0.686667,0.9,0.829333,1294,2000,0.007349
seed42_hard_2hop,42,0.2,hard_2hop,20,10,resource_allocation,100,0.551,0.99,0.829333,1294,2000,0.007349
seed42_hard_2hop,42,0.2,hard_2hop,20,1,preferential_attachment,100,0.55,0.55,0.679962,1294,2000,0.001821
seed42_hard_2hop,42,0.2,hard_2hop,20,3,preferential_attachment,100,0.506667,0.77,0.679962,1294,2000,0.001821
seed42_hard_2hop,42,0.2,hard_2hop,20,10,preferential_attachment,100,0.436,0.9,0.679962,1294,2000,0.001821
seed42_hard_2hop,42,0.2,hard_2hop,20,1,cosine_similarity,100,0.63,0.63,0.7585,1294,2000,0.004663
seed42_hard_2hop,42,0.2,hard_2hop,20,3,cosine_similarity,100,0.623333,0.84,0.7585,1294,2000,0.004663
seed42_hard_2hop,42,0.2,hard_2hop,20,10,cosine_similarity,100,0.53,0.99,0.7585,1294,2000,0.004663
seed42_hard_2hop,42,0.2,hard_2hop,20,1,sorensen,100,0.69,0.69,0.7985,1294,2000,0.004605
seed42_hard_2hop,42,0.2,hard_2hop,20,3,sorensen,100,0.66,0.87,0.7985,1294,2000,0.004605
seed42_hard_2hop,42,0.2,hard_2hop,20,10,sorensen,100,0.544,0.99,0.7985,1294,2000,0.004605
seed42_hard_2hop,42,0.2,hard_2hop,20,1,target_indegree,100,0.64,0.64,0.734634,1294,2000,0.001105
seed42_hard_2hop,42,0.2,hard_2hop,20,3,target_indegree,100,0.536667,0.78,0.734634,1294,2000,0.001105
seed42_hard_2hop,42,0.2,hard_2hop,20,10,target_indegree,100,0.45,0.93,0.734634,1294,2000,0.001105
